"Date","Team","Opp","GS","W","L","SV","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","GSv2"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","11","5","2","0","0","61.0","260","58","25","23","4","22","70","10.33","3.25","0.59",".329","73.9 %","42.5 %","7.3 %","3.39","2.78","3.55","57"
"<a href=""wins.aspx?date=2017-06-21&team=Mariners&dh=0"">2017-06-21</a>","SEA","DET","1","0","0","0","0","5.1","25","9","4","3","1","2","8","13.50","3.38","1.69",".571","72.9 %","46.7 %","50.0 %","5.06","3.70","1.94","41"
"<a href=""wins.aspx?date=2017-06-16&team=Mariners&dh=0"">2017-06-16</a>","SEA","@TEX","1","0","1","0","0","3.2","21","7","7","7","1","3","4","9.82","7.36","2.45",".462","34.9 %","28.6 %","20.0 %","17.18","6.96","5.86","20"
"<a href=""wins.aspx?date=2017-06-11&team=Mariners&dh=0"">2017-06-11</a>","SEA","TOR","1","0","1","0","0","4.0","23","8","4","4","1","3","3","6.75","6.75","2.25",".438","72.9 %","47.1 %","20.0 %","9.00","7.14","6.14","28"
"<a href=""wins.aspx?date=2017-06-06&team=Mariners&dh=0"">2017-06-06</a>","SEA","MIN","1","1","0","0","0","5.0","22","5","3","3","1","3","4","7.20","5.40","1.80",".286","75.8 %","33.3 %","20.0 %","5.40","5.94","5.14","44"
"<a href=""wins.aspx?date=2017-05-31&team=Mariners&dh=0"">2017-05-31</a>","SEA","COL","1","1","0","0","0","5.1","19","3","0","0","0","0","6","10.13","0.00","0.00",".231","100.0 %","76.9 %","0.0 %","0.00","0.89","1.90","73"
"<a href=""wins.aspx?date=2017-05-02&team=Mariners&dh=0"">2017-05-02</a>","SEA","LAA","1","0","0","0","0","5.1","26","5","2","1","0","5","6","10.13","8.44","0.00",".333","80.0 %","46.7 %","0.0 %","1.69","3.70","5.05","53"
"<a href=""wins.aspx?date=2017-04-26&team=Mariners&dh=0"">2017-04-26</a>","SEA","@DET","1","1","0","0","0","7.0","26","4","0","0","0","1","9","11.57","1.29","0.00",".250","100.0 %","50.0 %","0.0 %","0.00","0.99","2.54","82"
"<a href=""wins.aspx?date=2017-04-20&team=Mariners&dh=0"">2017-04-20</a>","SEA","@OAK","1","0","0","0","0","4.1","23","9","5","5","0","1","8","16.62","2.08","0.00",".643","50.0 %","21.4 %","0.0 %","10.38","0.14","2.21","40"
"<a href=""wins.aspx?date=2017-04-15&team=Mariners&dh=0"">2017-04-15</a>","SEA","TEX","1","1","0","0","0","8.0","26","2","0","0","0","1","9","10.13","1.13","0.00",".125","100.0 %","40.0 %","0.0 %","0.00","1.26","2.84","92"
"<a href=""wins.aspx?date=2017-04-10&team=Mariners&dh=0"">2017-04-10</a>","SEA","HOU","1","1","0","0","0","7.0","26","4","0","0","0","2","8","10.29","2.57","0.00",".250","100.0 %","37.5 %","0.0 %","0.00","1.71","3.51","79"
"<a href=""wins.aspx?date=2017-04-05&team=Mariners&dh=0"">2017-04-05</a>","SEA","@HOU","1","0","0","0","0","6.0","23","2","0","0","0","1","5","7.50","1.50","0.00",".118","100.0 %","41.2 %","0.0 %","0.00","1.97","3.77","76"
